timestamp,battery_percent,cpu_pct,screen_on,drain_per_min,minutes_remaining_target
2025-12-03 19:18:39.320908,94.478,24.97,1,0.5216,378
2025-12-03 19:19:39.320926,93.924,18.62,1,0.5544,377
2025-12-03 19:20:39.320931,93.83,26.48,0,0.0944,379
2025-12-03 19:21:39.320934,93.695,35.23,0,0.1348,377
2025-12-03 19:22:39.320938,93.618,17.66,0,0.0765,376
2025-12-03 19:23:39.320941,93.563,17.66,0,0.0557,375
2025-12-03 19:24:39.320945,93.471,35.79,0,0.0919,374
2025-12-03 19:25:39.320948,93.36,27.67,0,0.1108,373
2025-12-03 19:26:39.320951,92.817,15.31,1,0.5427,370
2025-12-03 19:27:39.320955,92.73,25.43,0,0.0877,371
2025-12-03 19:28:39.320958,92.629,15.37,0,0.1004,370
2025-12-03 19:29:39.320961,92.575,15.34,0,0.0544,369
2025-12-03 19:30:39.320965,92.476,22.42,0,0.099,367
2025-12-03 19:31:39.320968,92.438,0.87,0,0.0373,366
2025-12-03 19:32:39.320971,91.936,2.75,1,0.5019,363
2025-12-03 19:33:39.320974,91.85,14.38,0,0.0868,364
2025-12-03 19:34:39.320977,91.789,9.87,0,0.0606,363
2025-12-03 19:35:39.320980,91.695,23.14,0,0.094,362
2025-12-03 19:36:39.320983,91.145,10.92,1,0.5498,359
2025-12-03 19:37:39.320987,91.086,5.88,0,0.059,360
2025-12-03 19:38:39.320991,90.947,34.66,0,0.1391,359
2025-12-03 19:39:39.320994,90.428,17.74,1,0.5193,356
2025-12-03 19:40:39.320998,90.32,20.68,0,0.1078,357
2025-12-03 19:41:39.321001,89.771,5.75,1,0.5492,354
2025-12-03 19:42:39.321004,89.284,14.56,1,0.4868,353
2025-12-03 19:43:39.321007,89.202,21.11,0,0.0821,354
2025-12-03 19:44:39.321011,89.115,8.49,0,0.0868,353
2025-12-03 19:45:39.321014,89.016,23.76,0,0.0987,352
2025-12-03 19:46:39.321017,88.924,13.99,0,0.0926,351
2025-12-03 19:47:39.321020,88.845,17.08,0,0.0787,350
2025-12-03 19:48:39.321024,88.308,13.98,1,0.5369,347
2025-12-03 19:49:39.321027,87.732,38.52,1,0.5762,346
2025-12-03 19:50:39.321030,87.613,19.87,0,0.1191,347
2025-12-03 19:51:39.321033,87.531,9.42,0,0.082,346
2025-12-03 19:52:39.321037,87.413,28.23,0,0.1176,345
2025-12-03 19:53:39.321040,87.348,7.79,0,0.0658,344
2025-12-03 19:54:39.321043,86.808,22.09,1,0.54,341
2025-12-03 19:55:39.321046,86.755,0.4,0,0.0521,342
2025-12-03 19:56:39.321050,86.226,6.72,1,0.53,339
2025-12-03 19:57:39.321053,86.134,21.97,0,0.0911,340
2025-12-03 19:58:39.321056,86.019,27.38,0,0.1151,338
2025-12-03 19:59:39.321059,85.879,21.71,0,0.1406,337
2025-12-03 20:00:39.321063,85.767,18.84,0,0.1113,336
2025-12-03 20:01:39.321066,85.233,16.99,1,0.5341,333
2025-12-03 20:02:39.321069,84.69,5.21,1,0.5434,333
2025-12-03 20:03:39.321072,84.615,12.8,0,0.0749,334
2025-12-03 20:04:39.321075,84.568,15.39,0,0.0469,333
2025-12-03 20:05:39.321079,84.023,30.57,1,0.5449,330
2025-12-03 20:06:39.321082,83.508,23.44,1,0.5148,329
2025-12-03 20:07:39.321085,83.451,2.37,0,0.0572,330
