timestamp,battery_percent,cpu_pct,screen_on,drain_per_min,minutes_remaining_target
2025-12-03 19:32:39.949298,94.451,47.07,1,0.5491,435
2025-12-03 19:33:39.949316,94.401,26.28,0,0.0497,437
2025-12-03 19:34:39.949320,94.281,29.08,0,0.1207,436
2025-12-03 19:35:39.949324,93.721,25.04,1,0.5598,432
2025-12-03 19:36:39.949328,93.649,26.51,0,0.0717,434
2025-12-03 19:37:39.949331,93.607,16.81,0,0.0424,433
2025-12-03 19:38:39.949335,93.592,11.52,0,0.0149,432
2025-12-03 19:39:39.949338,93.486,26.06,0,0.106,430
2025-12-03 19:40:39.949342,93.443,0.0,0,0.0426,429
2025-12-03 19:41:39.949345,93.351,27.4,0,0.0922,427
2025-12-03 19:42:39.949349,93.283,25.29,0,0.0679,426
2025-12-03 19:43:39.949352,92.753,14.11,1,0.5297,423
2025-12-03 19:44:39.949356,92.233,21.89,1,0.5199,423
2025-12-03 19:45:39.949359,92.205,12.41,0,0.0283,424
2025-12-03 19:46:39.949362,92.174,10.67,0,0.0308,423
2025-12-03 19:47:39.949366,91.636,29.55,1,0.5385,419
2025-12-03 19:48:39.949369,91.594,21.91,0,0.0418,421
2025-12-03 19:49:39.949372,91.482,39.79,0,0.1122,420
2025-12-03 19:50:39.949376,90.938,46.06,1,0.5437,416
2025-12-03 19:51:39.949380,90.87,26.84,0,0.0686,418
2025-12-03 19:52:39.949384,90.809,23.03,0,0.0606,417
2025-12-03 19:53:39.949387,90.719,36.94,0,0.0898,416
2025-12-03 19:54:39.949391,90.223,2.94,1,0.4957,412
2025-12-03 19:55:39.949394,90.205,8.41,0,0.0183,414
2025-12-03 19:56:39.949398,90.155,18.65,0,0.0499,413
2025-12-03 19:57:39.949401,90.11,23.91,0,0.0449,411
2025-12-03 19:58:39.949405,89.602,21.67,1,0.5084,408
2025-12-03 19:59:39.949408,89.553,21.85,0,0.0488,409
2025-12-03 20:00:39.949412,89.47,28.08,0,0.0831,408
2025-12-03 20:01:39.949416,88.944,20.73,1,0.5262,405
2025-12-03 20:02:39.949419,88.378,26.39,1,0.5662,404
2025-12-03 20:03:39.949423,87.865,23.3,1,0.5121,404
2025-12-03 20:04:39.949426,87.782,15.03,0,0.0838,406
2025-12-03 20:05:39.949430,87.74,12.46,0,0.0412,405
2025-12-03 20:06:39.949433,87.705,10.57,0,0.0352,403
2025-12-03 20:07:39.949437,87.168,24.85,1,0.5372,400
2025-12-03 20:08:39.949440,87.084,18.83,0,0.0842,401
2025-12-03 20:09:39.949444,86.962,39.02,0,0.1221,400
2025-12-03 20:10:39.949447,86.881,22.38,0,0.0805,399
2025-12-03 20:11:39.949451,86.326,39.97,1,0.5548,395
2025-12-03 20:12:39.949454,85.793,10.07,1,0.5335,395
2025-12-03 20:13:39.949458,85.283,21.97,1,0.5097,395
2025-12-03 20:14:39.949462,85.255,8.63,0,0.0282,397
2025-12-03 20:15:39.949465,85.202,20.0,0,0.053,396
2025-12-03 20:16:39.949468,85.144,30.26,0,0.0583,394
2025-12-03 20:17:39.949472,85.094,18.43,0,0.0494,393
2025-12-03 20:18:39.949475,84.997,19.68,0,0.0973,391
2025-12-03 20:19:39.949479,84.952,26.5,0,0.0449,390
2025-12-03 20:20:39.949482,84.812,41.55,0,0.1399,388
2025-12-03 20:21:39.949486,84.789,13.9,0,0.0237,388
2025-12-03 20:22:39.949489,84.265,12.45,1,0.5238,384
2025-12-03 20:23:39.949493,84.26,16.54,0,0.0046,386
2025-12-03 20:24:39.949496,84.157,21.47,0,0.1036,384
2025-12-03 20:25:39.949500,83.663,15.21,1,0.4933,381
2025-12-03 20:26:39.949504,83.583,25.59,0,0.0799,382
2025-12-03 20:27:39.949508,83.051,30.25,1,0.5327,379
2025-12-03 20:28:39.949511,82.558,10.74,1,0.4923,379
2025-12-03 20:29:39.949515,82.428,38.63,0,0.1305,380
